company,salTpNm,minSal,maxSal,holidayTpNm,minEdubg,career,empTpCd,jobsCd,regDt,closeDt,region_1,region_2,basicAddr,smCo,coTp
씨제이프레시웨이주식회사,월급,1914440,2500000,주5일근무,학력무관,관계없음,20,532300,21-12-28,채용시까지  22-02-12,서울,서울 노원구,서울특별시 노원구 노해로 507,N,01
(주)롯데알미늄,월급,2300000,2400000,주5일근무,학력무관,관계없음,20,811104,21-12-24,채용시까지  22-02-16,서울,서울 금천구,서울특별시 금천구 벚꽃로 104,N,01
(주)코오롱,연봉,25000000,28500000,주5일근무,고졸,관계없음,20,154200,21-12-21,채용시까지  22-02-19,서울,서울 강서구,서울특별시 강서구 마곡동로 110,N,01
씨제이프레시웨이주식회사,월급,1914440,0,주5일근무,학력무관,관계없음,20,532300,21-12-20,채용시까지  22-02-12,서울,서울 용산구,서울특별시 용산구 대사관로 59,N,01
푸르덴셜생명보험,연봉,50000000,0,주5일근무,대졸(2~3년),관계없음,10,015101,21-12-20,채용시까지  22-02-18,서울,서울 중구,서울특별시 중구 소공로 94,N,01
동부건설(주),연봉,36000000,0,주5일근무,대졸(2~3년),관계없음,20,140203,21-12-20,채용시까지  22-02-15,서울,서울 서초구,서울특별시 서초구 효령로2길 4,N,01
롯데건설㈜,연봉,36000000,0,주6일근무,고졸,경력,20,016100,21-12-17,채용시까지  22-02-14,서울,서울 서초구,서울특별시 서초구 반포대로18길 60,N,01
롯데건설㈜,월급,1600000,1800000,주5일근무,학력무관,경력,21,561100,21-12-16,채용시까지  22-02-12,서울,서울 도봉구,서울특별시 도봉구 마들로 650,N,01
롯데건설㈜,연봉,45000000,0,주6일근무,학력무관,관계없음,20,140206,21-12-13,채용시까지  22-02-10,서울,서울 서초구,서울특별시 서초구 강남대로 247,N,01
(주)아워홈,시급,9160,0,주5일근무,학력무관,관계없음,21,532302,21-12-10,채용시까지  22-02-09,서울,서울 영등포구,서울특별시 영등포구 영신로 220,N,01
계룡건설산업(주),월급,2650000,2750000,주6일근무,학력무관,경력,20,702901,21-12-09,채용시까지  22-02-08,서울,서울 송파구,서울특별시 송파구 위례송파로 124,N,01
(주)케이티씨에스,월급,1990000,0,주5일근무,학력무관,관계없음,10,029202,21-12-08,채용시까지  22-02-07,서울,서울 영등포구,서울특별시 영등포구 버드나루로 13,N,01
지에스건설(주),월급,2600000,2700000,주6일근무,학력무관,신입,20,706000,21-12-08,채용시까지  22-02-07,서울,서울 은평구,서울특별시 은평구 은평터널로7길 7,N,01
씨제이프레시웨이주식회사,시급,9160,9160,주5일근무,학력무관,경력,20,532300,22-02-04,채용시까지  22-04-03,부산,부산 영도구,부산광역시 영도구 와치로 194,N,01
